GeneID,Source
DDB_G0267330,dictyBase
DDB_G0267184,dictyBase
DDB_G0267190,dictyBase
DDB_G0267248,dictyBase
DDB_G0267260,dictyBase
DDB_G0267282,dictyBase
DDB_G0268510,dictyBase
DDB_G0270822,dictyBase
DDB_G0269258,dictyBase
DDB_G0269036,dictyBase
DDB_G0271452,dictyBase
DDB_G0271456,dictyBase
DDB_G0270888,dictyBase
DDB_G0269056,dictyBase
DDB_G0271954,dictyBase
DDB_G0272290,dictyBase
DDB_G0273375,dictyBase
DDB_G0274721,dictyBase
DDB_G0275217,dictyBase
DDB_G0282919,dictyBase
DDB_G0278221,dictyBase
DDB_G0277711,dictyBase
DDB_G0277299,dictyBase
DDB_G0279895,dictyBase
DDB_G0277363,dictyBase
DDB_G0281535,dictyBase
DDB_G0282753,dictyBase
DDB_G0285091,dictyBase
DDB_G0283079,dictyBase
DDB_G0284829,dictyBase
DDB_G0282051,dictyBase
DDB_G0282507,dictyBase
DDB_G0289793,dictyBase
DDB_G0287249,dictyBase
DDB_G0290447,dictyBase
DDB_G0292174,dictyBase
DDB_G0292938,dictyBase
DDB_G0292452,dictyBase
DDB_G0292954,dictyBase
DDB_G0293852,dictyBase
DDB_G0291956,dictyBase
DDB_G0291257,dictyBase
DDB_G0293632,dictyBase
DDB_G0293482,dictyBase
DDB_G0294296,dictyBase
DDB_G0282787,dictyBase
DDB_G0268464,dictyBase
DDB_G0277781,dictyBase
DDB_G0267250,dictyBase
DDB_G0278641,dictyBase
DDB_G0268986,dictyBase
DDB_G0287579,dictyBase
DDB_G0282355,dictyBase
DDB_G0293692,dictyBase
DDB_G0282085,dictyBase
DDB_G0267326,dictyBase
DDB_G0267328,dictyBase
DDB_G0267244,dictyBase
DDB_G0270968,dictyBase
DDB_G0267246,dictyBase
DDB_G0267262,dictyBase
DDB_G0268610,dictyBase
DDB_G0269662,dictyBase
DDB_G0269542,dictyBase
DDB_G0269076,dictyBase
DDB_G0268978,dictyBase
DDB_G0268508,dictyBase
DDB_G0271018,dictyBase
DDB_G0271020,dictyBase
DDB_G0267778,dictyBase
DDB_G0270952,dictyBase
DDB_G0270954,dictyBase
DDB_G0270064,dictyBase
DDB_G0273883,dictyBase
DDB_G0274753,dictyBase
DDB_G0274673,dictyBase
DDB_G0274719,dictyBase
DDB_G0281479,dictyBase
DDB_G0276209,dictyBase
DDB_G0275943,dictyBase
DDB_G0277283,dictyBase
DDB_G0277285,dictyBase
DDB_G0279055,dictyBase
DDB_G0279391,dictyBase
DDB_G0281579,dictyBase
DDB_G0279771,dictyBase
DDB_G0286547,dictyBase
DDB_G0290375,dictyBase
DDB_G0284733,dictyBase
DDB_G0287421,dictyBase
DDB_G0285315,dictyBase
DDB_G0287455,dictyBase
DDB_G0293270,dictyBase
DDB_G0292726,dictyBase
DDB_G0290241,dictyBase
DDB_G0292796,dictyBase
DDB_G0290129,dictyBase
DDB_G0291217,dictyBase
DDB_G0291221,dictyBase
DDB_G0292370,dictyBase
DDB_G0293140,dictyBase
DDB_G0293152,dictyBase
DDB_G0291880,dictyBase
DDB_G0291940,dictyBase
DDB_G0293764,dictyBase
DDB_G0291954,dictyBase
DDB_G0291960,dictyBase
DDB_G0291964,dictyBase
DDB_G0293690,dictyBase
DDB_G0293490,dictyBase
DDB_G0267242,dictyBase
DDB_G0268606,dictyBase
DDB_G0277821,dictyBase
DDB_G0277715,dictyBase
DDB_G0267358,dictyBase
DDB_G0267308,dictyBase
DDB_G0281539,dictyBase
DDB_G0281943,dictyBase
DDB_G0289805,dictyBase
DDB_G0275219,dictyBase
DDB_G0267238,dictyBase
DDB_G0285307,dictyBase
DDB_G0271952,dictyBase
DDB_G0267298,dictyBase
DDB_G0267306,dictyBase
DDB_G0267314,dictyBase
DDB_G0267342,dictyBase
DDB_G0267354,dictyBase
DDB_G0267182,dictyBase
DDB_G0267210,dictyBase
DDB_G0270456,dictyBase
DDB_G0270458,dictyBase
DDB_G0267264,dictyBase
DDB_G0267292,dictyBase
DDB_G0267270,dictyBase
DDB_G0268608,dictyBase
DDB_G0268470,dictyBase
DDB_G0269094,dictyBase
DDB_G0271422,dictyBase
DDB_G0267736,dictyBase
DDB_G0271028,dictyBase
DDB_G0271454,dictyBase
DDB_G0269030,dictyBase
DDB_G0270896,dictyBase
DDB_G0268440,dictyBase
DDB_G0270950,dictyBase
DDB_G0272408,dictyBase
DDB_G0273271,dictyBase
DDB_G0272548,dictyBase
DDB_G0276313,dictyBase
DDB_G0279127,dictyBase
DDB_G0273759,dictyBase
DDB_G0276495,dictyBase
DDB_G0276525,dictyBase
DDB_G0275945,dictyBase
DDB_G0279929,dictyBase
DDB_G0280365,dictyBase
DDB_G0279595,dictyBase
DDB_G0285097,dictyBase
DDB_G0282799,dictyBase
DDB_G0285035,dictyBase
DDB_G0280833,dictyBase
DDB_G0290955,dictyBase
DDB_G0285951,dictyBase
DDB_G0286097,dictyBase
DDB_G0289107,dictyBase
DDB_G0286497,dictyBase
DDB_G0293272,dictyBase
DDB_G0289387,dictyBase
DDB_G0292198,dictyBase
DDB_G0292712,dictyBase
DDB_G0291213,dictyBase
DDB_G0292338,dictyBase
DDB_G0293894,dictyBase
DDB_G0293734,dictyBase
DDB_G0294002,dictyBase
DDB_G0271172,dictyBase
DDB_G0270460,dictyBase
DDB_G0267294,dictyBase
DDB_G0277365,dictyBase
DDB_G0267188,dictyBase
DDB_G0276645,dictyBase
DDB_G0291962,dictyBase
DDB_G0267324,dictyBase
DDB_G0267348,dictyBase
DDB_G0267352,dictyBase
